job_id,job_role,job_description,required_skills,experience_level
70,Backend Developer,Develop server-side logic and RESTful APIs.,"Java,Spring Boot,REST APIs,SQL,Git,Debugging,Teamwork",0-2 years
71,Software Engineer,Work on building scalable software solutions and collaborate with cross-functional teams.,"Python,Java,Data Structures,Git,Problem Solving,Communication,Teamwork",Fresher
72,Data Analyst,Analyze datasets to generate insights and support business decisions.,"SQL,Excel,Python,Data Analysis,Visualization,Attention to Detail,Communication",Fresher
73,ML Engineer,"Develop, train, and deploy machine learning models.","Python,Machine Learning,Scikit-learn,Statistics,Data Preprocessing,Problem Solving,Teamwork",0-2 years
74,Frontend Developer,Design responsive user interfaces for web applications.,"HTML,CSS,JavaScript,React,UI/UX,Problem Solving,Communication",Fresher
75,Backend Developer,Develop server-side logic and RESTful APIs.,"Java,Spring Boot,REST APIs,SQL,Git,Debugging,Teamwork",0-2 years
76,Software Engineer,Work on building scalable software solutions and collaborate with cross-functional teams.,"Python,Java,Data Structures,Git,Problem Solving,Communication,Teamwork",Fresher
77,Data Analyst,Analyze datasets to generate insights and support business decisions.,"SQL,Excel,Python,Data Analysis,Visualization,Attention to Detail,Communication",Fresher
78,ML Engineer,"Develop, train, and deploy machine learning models.","Python,Machine Learning,Scikit-learn,Statistics,Data Preprocessing,Problem Solving,Teamwork",0-2 years
79,Frontend Developer,Design responsive user interfaces for web applications.,"HTML,CSS,JavaScript,React,UI/UX,Problem Solving,Communication",Fresher
80,Backend Developer,Develop server-side logic and RESTful APIs.,"Java,Spring Boot,REST APIs,SQL,Git,Debugging,Teamwork",0-2 years
81,Software Engineer,Work on building scalable software solutions and collaborate with cross-functional teams.,"Python,Java,Data Structures,Git,Problem Solving,Communication,Teamwork",Fresher
82,Data Analyst,Analyze datasets to generate insights and support business decisions.,"SQL,Excel,Python,Data Analysis,Visualization,Attention to Detail,Communication",Fresher
83,ML Engineer,"Develop, train, and deploy machine learning models.","Python,Machine Learning,Scikit-learn,Statistics,Data Preprocessing,Problem Solving,Teamwork",0-2 years
84,Frontend Developer,Design responsive user interfaces for web applications.,"HTML,CSS,JavaScript,React,UI/UX,Problem Solving,Communication",Fresher
85,Backend Developer,Develop server-side logic and RESTful APIs.,"Java,Spring Boot,REST APIs,SQL,Git,Debugging,Teamwork",0-2 years
86,Software Engineer,Work on building scalable software solutions and collaborate with cross-functional teams.,"Python,Java,Data Structures,Git,Problem Solving,Communication,Teamwork",Fresher
87,Data Analyst,Analyze datasets to generate insights and support business decisions.,"SQL,Excel,Python,Data Analysis,Visualization,Attention to Detail,Communication",Fresher
88,ML Engineer,"Develop, train, and deploy machine learning models.","Python,Machine Learning,Scikit-learn,Statistics,Data Preprocessing,Problem Solving,Teamwork",0-2 years
89,Frontend Developer,Design responsive user interfaces for web applications.,"HTML,CSS,JavaScript,React,UI/UX,Problem Solving,Communication",Fresher
90,Backend Developer,Develop server-side logic and RESTful APIs.,"Java,Spring Boot,REST APIs,SQL,Git,Debugging,Teamwork",0-2 years
91,Software Engineer,Work on building scalable software solutions and collaborate with cross-functional teams.,"Python,Java,Data Structures,Git,Problem Solving,Communication,Teamwork",Fresher
92,Data Analyst,Analyze datasets to generate insights and support business decisions.,"SQL,Excel,Python,Data Analysis,Visualization,Attention to Detail,Communication",Fresher
93,ML Engineer,"Develop, train, and deploy machine learning models.","Python,Machine Learning,Scikit-learn,Statistics,Data Preprocessing,Problem Solving,Teamwork",0-2 years
94,Frontend Developer,Design responsive user interfaces for web applications.,"HTML,CSS,JavaScript,React,UI/UX,Problem Solving,Communication",Fresher
95,Backend Developer,Develop server-side logic and RESTful APIs.,"Java,Spring Boot,REST APIs,SQL,Git,Debugging,Teamwork",0-2 years
96,Software Engineer,Work on building scalable software solutions and collaborate with cross-functional teams.,"Python,Java,Data Structures,Git,Problem Solving,Communication,Teamwork",Fresher
97,Data Analyst,Analyze datasets to generate insights and support business decisions.,"SQL,Excel,Python,Data Analysis,Visualization,Attention to Detail,Communication",Fresher
98,ML Engineer,"Develop, train, and deploy machine learning models.","Python,Machine Learning,Scikit-learn,Statistics,Data Preprocessing,Problem Solving,Teamwork",0-2 years
99,Frontend Developer,Design responsive user interfaces for web applications.,"HTML,CSS,JavaScript,React,UI/UX,Problem Solving,Communication",Fresher
100,Backend Developer,Develop server-side logic and RESTful APIs.,"Java,Spring Boot,REST APIs,SQL,Git,Debugging,Teamwork",0-2 years
